parent_rule_id;parent_rule_text;classification_parent;source_ref;rule_id;rule_text_atomic;RASE;applies_to_rule;classification_atomic;Defined term;Ambiguity;main_category_amb;location_context;figure_required;figure_id
2;"The following activities take place in a
semi-ambulant WC (see Figure 88): use of the toilet;
disposal of sanitary towels (optional);
hand-rinsing. ";Lexical ambiguity;HBN 00-02, 5.48;10;a toilet seat in semi-ambulant WC;Applicability (A);11;Prescriptive;-;no;-;WC room, toilet room;yes;1
2;"The following activities take place in a
semi-ambulant WC (see Figure 88): use of the toilet;
disposal of sanitary towels (optional);
hand-rinsing. ";Lexical ambiguity;HBN 00-02, 5.48;11;must be equipped with horizontal handrails on both sides and vertical handrails on one side and on the wall behind the toilet;Requirement (R);-;Prescriptive;-;no;-;WC room, toilet room;yes;1
2;"The following activities take place in a
semi-ambulant WC (see Figure 88): use of the toilet;
disposal of sanitary towels (optional);
hand-rinsing. ";Lexical ambiguity;HBN 00-02, 5.48;12;side wall closest to the toilet seat and perpendicular to the wall behind the toilet  in semi-ambulant WC;Applicability (A);14,13;-;-;no;-;WC room, toilet room;yes;1
2;"The following activities take place in a
semi-ambulant WC (see Figure 88): use of the toilet;
disposal of sanitary towels (optional);
hand-rinsing. ";Lexical ambiguity;HBN 00-02, 5.48;13; install a toilet paper holder next to the toilet seat;Requirement (R);-;Prescriptive;-;no;-;WC room, toilet room;yes;1
2;"The following activities take place in a
semi-ambulant WC (see Figure 88): use of the toilet;
disposal of sanitary towels (optional);
hand-rinsing. ";Lexical ambiguity;HBN 00-02, 5.48;14;when using a large holder, it can protrude into the activity area;Exception (E);-;Prescriptive;-;no;-;WC room, toilet room;yes;1
2;"The following activities take place in a
semi-ambulant WC (see Figure 88): use of the toilet;
disposal of sanitary towels (optional);
hand-rinsing. ";Lexical ambiguity;HBN 00-02, 5.48;15;entrance area  in semi-ambulant WC;Applicability (A);17,16;-;-;no;-;WC room, toilet room;yes;1
2;"The following activities take place in a
semi-ambulant WC (see Figure 88): use of the toilet;
disposal of sanitary towels (optional);
hand-rinsing. ";Lexical ambiguity;HBN 00-02, 5.48;16;provide a coat hook;Requirement (R);-;Prescriptive;-;no;-;WC room, toilet room;yes;1
2;"The following activities take place in a
semi-ambulant WC (see Figure 88): use of the toilet;
disposal of sanitary towels (optional);
hand-rinsing. ";Lexical ambiguity;HBN 00-02, 5.48;17;provide a call button for assistance;Requirement (R);-;Prescriptive;-;no;-;WC room, toilet room;yes;1
2;"The following activities take place in a
semi-ambulant WC (see Figure 88): use of the toilet;
disposal of sanitary towels (optional);
hand-rinsing. ";Lexical ambiguity;HBN 00-02, 5.48;18;side wall far to the toilet seat and perpendicular to the wall behind the toilet seat in semi-ambulant WC;Applicability (A);19;-;-;no;-;WC room, toilet room;yes;1
2;"The following activities take place in a
semi-ambulant WC (see Figure 88): use of the toilet;
disposal of sanitary towels (optional);
hand-rinsing. ";Lexical ambiguity;HBN 00-02, 5.48;19;provide an area for a waste bin;Requirement (R);-;Prescriptive;-;no;-;WC room, toilet room;yes;1
2;"The following activities take place in a
semi-ambulant WC (see Figure 88): use of the toilet;
disposal of sanitary towels (optional);
hand-rinsing. ";Lexical ambiguity;HBN 00-02, 5.48;20; near the sink (on the right or on the left side to it)  in semi-ambulant WC;Applicability (A);21;-;-;no;-;WC room, toilet room;yes;1
2;"The following activities take place in a
semi-ambulant WC (see Figure 88): use of the toilet;
disposal of sanitary towels (optional);
hand-rinsing. ";Lexical ambiguity;HBN 00-02, 5.48;21; install a paper towel dispenser;Requirement (R);-;Prescriptive;WC;no;-;WC room, toilet room;yes;1
