generated_question_id,scene_id,file_path,template_id,question_text,rule_id,parent_rule_id,rule_figure_id,figure_path,correct_answer
11,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The entrance area in the semi-ambulant WC should provide a call button for assistance

Answer ""yes"" or ""no"".",15.0,,,,yes
12,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
Optionally, a disposal bin for sanitary towels can be located near the toilet seat in the semi-ambulant WC.

Answer ""yes"" or ""no"".",16.0,,,,yes
13,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
Near the sink (on the right or on the left side of it), in a semi-ambulant WC, install a paper towel dispenser.

Answer ""yes"" or ""no"".",17.0,,1.0,Figure88.jpg,yes
14,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The position of the grabrails should not conflict with the height-adjustment mechanism of the basin.

Answer ""yes"" or ""no"".",47.0,,,,yes
15,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
In this rule, fixtures can be mapped to many objects, such as mirrors, shelves, towel rails, soap dispensers, or paper towel dispensers etc. None of these fixtures should conflict with the height adjustment mechanism of the basin for this rule to pass.

Answer ""yes"" or ""no"".",48.0,,,,yes
16,1,1 a plan view of a semi-abudant WC room.jpg,41,"Is the design displayed in the picture compliant with the following rule?

Rule:
The following activities take place in a semi-ambulant WC (see Figure 88): use of the toilet; disposal of sanitary towels (optional); hand-rinsing. 

Emerald (Greenish) Zone: Semi-ambulant Toilet Activity Space represents the required clearance for approaching and using the semi-ambulant toilet. 
Low-Level Space: A clear space of 600 mm (height, width and depth) is required in front of the toilet pan at a low level to allow for user positioning. Overall Width: The entire activity zone for the toilet should have a width of 800 mm and 600 depth on the upper level. 

Purple (Pinkish) zone corresponds to the activity space for using the ambulant/semi-ambulant hand-rinse basin, with distinct requirements at different heights:
Low-Level Space: At a low level, a clear space with a width of 800 mm(depth and height 600) is required for a user to approach and stand at the basin.
Higher-Level Space: For the upper body, a wider space of 1000 mm (depth 800mm and height 1200 (human 1805-600 at low level) is required to accommodate arm movements during washing and drying.

Answer ""yes"" or ""no"".",,2.0,1.0,Figure88.jpg,no
17,1,1 a plan view of a semi-abudant WC room.jpg,41,"Is the design displayed in the picture compliant with the following rule?

Rule:
The position of the grabrails and fixtures should not conflict with the height-adjustment mechanism of the basin

Answer ""yes"" or ""no"".",,7.0,,,yes
18,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The semi-ambulant WC must be designed to accommodate following activities: use of the toilet; disposal of sanitary towels (optional); hand-rinsing.

Answer ""yes"" or ""no"".",5.0,,1.0,Figure88.jpg,yes
19,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The ""Emerald (Greenish) Zone"" is defined as the required clear activity space for approaching and using the semi-ambulant toilet. Darker shade shows low-level area. A clear space of 600 mm in height, 600 mm in width, and 600 mm in depth must be provided at a low level directly in front of the toilet pan.

Answer ""yes"" or ""no"".",6.0,,1.0,Figure88.jpg,yes
20,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The ""Emerald (Greenish) Zone"" is defined as the required clear activity space for approaching and using the semi-ambulant toilet. Lighter shade show a zone in the upper level. The overall toilet activity zone at the upper level must have a width of 800 mm and a depth of 600 mm.

Answer ""yes"" or ""no"".",7.0,,1.0,Figure88.jpg,yes
21,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The ""Purple (Pinkish) Zone"" is defined as the activity space required for using the hand-rinse basin. Darker shade shows low-level area. For user approach, a clear space must be provided at a low level with a width of 800 mm, a depth of 600 mm, and a height of 600 mm.

Answer ""yes"" or ""no"".",8.0,,1.0,Figure88.jpg,yes
22,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The ""Purple (Pinkish) Zone"" is defined as the activity space required for using the hand-rinse basin. Lighter shade show a zone in the upper level. To accommodate upper body and arm movements, a clear space must be provided at a higher level with a width of 1000 mm, a depth of 800 mm, and a height of 1200 mm.

Answer ""yes"" or ""no"".",9.0,,1.0,Figure88.jpg,yes
23,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
In a semi-ambulant WC must be a free area with a width of ³ 900 mm in the center of the room, intended for moving with a cane/frame.

Answer ""yes"" or ""no"".",10.0,,1.0,Figure88.jpg,yes
24,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
A toilet seat in a semi-ambulant WC must be equipped with horizontal handrails on both sides and vertical handrails on one side and on the wall behind the toilet.

Answer ""yes"" or ""no"".",11.0,,1.0,Figure88.jpg,yes
25,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
On the side wall closest to the toilet seat and perpendicular to the wall behind the toilet  in a semi-ambulant WC should be installed a toilet paper holder next to the toilet seat.

Answer ""yes"" or ""no"".",12.0,,1.0,Figure88.jpg,no
26,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
In a semi-ambulant WC must be a free area with a width of ³ 900 mm in the center of the room, intended for moving with a cane/frame. When using a large toilet holder in a semi-ambulant WC, it can protrude into the activity area.

Answer ""yes"" or ""no"".",13.0,,1.0,Figure88.jpg,yes
27,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The entrance area in the semi-ambulant WC should provide a coat hook.

Answer ""yes"" or ""no"".",14.0,,,,no
28,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The entrance area in the semi-ambulant WC should provide a call button for assistance

Answer ""yes"" or ""no"".",15.0,,,,no
29,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
Optionally, a disposal bin for sanitary towels can be located near the toilet seat in the semi-ambulant WC.

Answer ""yes"" or ""no"".",16.0,,,,no
30,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
Near the sink (on the right or on the left side of it), in a semi-ambulant WC, install a paper towel dispenser.

Answer ""yes"" or ""no"".",17.0,,1.0,Figure88.jpg,yes
31,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The position of the grabrails should not conflict with the height-adjustment mechanism of the basin.

Answer ""yes"" or ""no"".",47.0,,,,yes
32,1,1 a plan view of a semi-abudant WC room.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
In this rule, fixtures can be mapped to many objects, such as mirrors, shelves, towel rails, soap dispensers, or paper towel dispensers etc. None of these fixtures should conflict with the height adjustment mechanism of the basin for this rule to pass.

Answer ""yes"" or ""no"".",48.0,,,,yes
33,9,9 Cutout 4 - Compositional view.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The required capacity of each door opening shall be sufficient for the occupant load served by that door opening.

Answer ""yes"" or ""no"".",1.0,,,,yes
34,9,9 Cutout 4 - Compositional view.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
Each door opening shall provide a minimum clear opening width of 32 inches (813 mm). The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad).

Answer ""yes"" or ""no"".",2.0,,,,yes
35,9,9 Cutout 4 - Compositional view.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad). Where this section requires a minimum clear opening width of 32 inches (813 mm) and a door opening includes two door leaves without a mullion, one leaf shall provide a minimum clear opening width of 32 inches (813 mm).

Answer ""yes"" or ""no"".",4.0,,,,yes
36,9,9 Cutout 4 - Compositional view.jpg,41,"Is the design displayed in the picture compliant with the following rule?

Rule:
The required capacity of each door opening shall be sufficient for the occupant load thereof and shall provide a minimum clear opening width of 32 inches (813 mm). The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad). Where this section requires a minimum clear opening width of 32 inches (813 mm) and a door opening includes two door leaves without a mullion, one leaf shall provide a minimum clear opening width of 32 inches (813 mm).

Answer ""yes"" or ""no"".",,1.0,,,no
37,9,9 Cutout 4 - Compositional view.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The required capacity of each door opening shall be sufficient for the occupant load served by that door opening.

Answer ""yes"" or ""no"".",1.0,,,,yes
38,9,9 Cutout 4 - Compositional view.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
Each door opening shall provide a minimum clear opening width of 32 inches (813 mm). The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad).

Answer ""yes"" or ""no"".",2.0,,,,yes
39,9,9 Cutout 4 - Compositional view.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad). Where this section requires a minimum clear opening width of 32 inches (813 mm) and a door opening includes two door leaves without a mullion, one leaf shall provide a minimum clear opening width of 32 inches (813 mm).

Answer ""yes"" or ""no"".",4.0,,,,no
40,10,10 Cutout 4 - Compositional view.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The required capacity of each door opening shall be sufficient for the occupant load served by that door opening.

Answer ""yes"" or ""no"".",1.0,,,,yes
41,10,10 Cutout 4 - Compositional view.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
Each door opening shall provide a minimum clear opening width of 32 inches (813 mm). The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad).

Answer ""yes"" or ""no"".",2.0,,,,yes
42,10,10 Cutout 4 - Compositional view.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad). Where this section requires a minimum clear opening width of 32 inches (813 mm) and a door opening includes two door leaves without a mullion, one leaf shall provide a minimum clear opening width of 32 inches (813 mm).

Answer ""yes"" or ""no"".",4.0,,,,yes
43,10,10 Cutout 4 - Compositional view.jpg,41,"Is the design displayed in the picture compliant with the following rule?

Rule:
The required capacity of each door opening shall be sufficient for the occupant load thereof and shall provide a minimum clear opening width of 32 inches (813 mm). The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad). Where this section requires a minimum clear opening width of 32 inches (813 mm) and a door opening includes two door leaves without a mullion, one leaf shall provide a minimum clear opening width of 32 inches (813 mm).

Answer ""yes"" or ""no"".",,1.0,,,no
44,10,10 Cutout 4 - Compositional view.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The required capacity of each door opening shall be sufficient for the occupant load served by that door opening.

Answer ""yes"" or ""no"".",1.0,,,,yes
45,10,10 Cutout 4 - Compositional view.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
Each door opening shall provide a minimum clear opening width of 32 inches (813 mm). The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad).

Answer ""yes"" or ""no"".",2.0,,,,no
46,10,10 Cutout 4 - Compositional view.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad). Where this section requires a minimum clear opening width of 32 inches (813 mm) and a door opening includes two door leaves without a mullion, one leaf shall provide a minimum clear opening width of 32 inches (813 mm).

Answer ""yes"" or ""no"".",4.0,,,,yes
47,11,11 Cutout 4 - Compositional view.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The required capacity of each door opening shall be sufficient for the occupant load served by that door opening.

Answer ""yes"" or ""no"".",1.0,,,,yes
48,11,11 Cutout 4 - Compositional view.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
Each door opening shall provide a minimum clear opening width of 32 inches (813 mm). The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad).

Answer ""yes"" or ""no"".",2.0,,,,yes
49,11,11 Cutout 4 - Compositional view.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad). Where this section requires a minimum clear opening width of 32 inches (813 mm) and a door opening includes two door leaves without a mullion, one leaf shall provide a minimum clear opening width of 32 inches (813 mm).

Answer ""yes"" or ""no"".",4.0,,,,yes
50,11,11 Cutout 4 - Compositional view.jpg,41,"Is the design displayed in the picture compliant with the following rule?

Rule:
The required capacity of each door opening shall be sufficient for the occupant load thereof and shall provide a minimum clear opening width of 32 inches (813 mm). The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad). Where this section requires a minimum clear opening width of 32 inches (813 mm) and a door opening includes two door leaves without a mullion, one leaf shall provide a minimum clear opening width of 32 inches (813 mm).

Answer ""yes"" or ""no"".",,1.0,,,yes
51,11,11 Cutout 4 - Compositional view.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The required capacity of each door opening shall be sufficient for the occupant load served by that door opening.

Answer ""yes"" or ""no"".",1.0,,,,yes
52,11,11 Cutout 4 - Compositional view.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
Each door opening shall provide a minimum clear opening width of 32 inches (813 mm). The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad).

Answer ""yes"" or ""no"".",2.0,,,,yes
53,11,11 Cutout 4 - Compositional view.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad). Where this section requires a minimum clear opening width of 32 inches (813 mm) and a door opening includes two door leaves without a mullion, one leaf shall provide a minimum clear opening width of 32 inches (813 mm).

Answer ""yes"" or ""no"".",4.0,,,,yes
54,12,12 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
In the trolley access shower, the shower hose should be long enough to allow staff to shower the full length of the patient from either side with a trigger handle.

Answer ""yes"" or ""no"".",18.0,,4.0,Figure67.jpg,yes
55,12,12 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
Two clearance zones, one on each side of the central trolley area, must be provided in the trolley access shower, each with a minimum width of 800 mm.

Answer ""yes"" or ""no"".",19.0,,4.0,Figure67.jpg,yes
56,12,12 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The shower trolley usually has a width of 760 mm.

Answer ""yes"" or ""no"".",20.0,,4.0,Figure67.jpg,yes
57,12,12 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The overall length of the shower area in the trolley-access shower must be 2700 mm to accommodate a 1900 mm-long trolley, as a minimum clear space of 600 mm must be provided beyond one end of the shower trolley. There should be some space between the foot of the trolley and a wall with a toilet pan or sluice.

Answer ""yes"" or ""no"".",21.0,,4.0,Figure67.jpg,yes
58,12,12 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
A minimum clear space of 600 mm must be provided beyond one end of the shower trolley to allow for staff passage and maneuvering.

Answer ""yes"" or ""no"".",22.0,,4.0,Figure67.jpg,yes
59,12,12 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
A toilet pan or sluice must be located at the foot of the shower trolley area. The drainpipe at the foot of the shower trolley should be positioned over the toilet in the wet area to deal with incontinence episodes during showering.

Answer ""yes"" or ""no"".",23.0,,4.0,Figure67.jpg,yes
60,12,12 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The floor must be sloped in the shower, and the floor gully must be located so as to ensure that water is contained and does not escape into any adjoining bedroom.

Answer ""yes"" or ""no"".",24.0,,4.0,Figure67.jpg,yes
61,12,12 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
A staff emergency ceiling pull cord must be located in the space between the floor gully and the showering trolley in the staff working area so that the staff member can access it quickly  in the trolley access shower.

Answer ""yes"" or ""no"".",25.0,,4.0,Figure67.jpg,yes
62,12,12 Cutout 5.jpg,41,"Is the design displayed in the picture compliant with the following rule?

Rule:
In the trolley access shower, the shower hose should be long enough to allow staff to shower the full length of the patient from either side with a trigger handle.

 The shower rooms are assumed to be wet rooms. The slope of the floor and location of the floor gully should ensure that water does not escape into the adjoining bedroom.The drainpipe at the foot of the shower trolley should be positioned over the toilet in the wet area to deal with incontinence episodes during showering.

Answer ""yes"" or ""no"".",,3.0,4.0,Figure67.jpg,no
63,12,12 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
In the trolley access shower, the shower hose should be long enough to allow staff to shower the full length of the patient from either side with a trigger handle.

Answer ""yes"" or ""no"".",18.0,,4.0,Figure67.jpg,yes
64,12,12 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
Two clearance zones, one on each side of the central trolley area, must be provided in the trolley access shower, each with a minimum width of 800 mm.

Answer ""yes"" or ""no"".",19.0,,4.0,Figure67.jpg,no
65,12,12 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The shower trolley usually has a width of 760 mm.

Answer ""yes"" or ""no"".",20.0,,4.0,Figure67.jpg,yes
66,12,12 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The overall length of the shower area in the trolley-access shower must be 2700 mm to accommodate a 1900 mm-long trolley, as a minimum clear space of 600 mm must be provided beyond one end of the shower trolley. There should be some space between the foot of the trolley and a wall with a toilet pan or sluice.

Answer ""yes"" or ""no"".",21.0,,4.0,Figure67.jpg,yes
67,12,12 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
A minimum clear space of 600 mm must be provided beyond one end of the shower trolley to allow for staff passage and maneuvering.

Answer ""yes"" or ""no"".",22.0,,4.0,Figure67.jpg,yes
68,12,12 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
A toilet pan or sluice must be located at the foot of the shower trolley area. The drainpipe at the foot of the shower trolley should be positioned over the toilet in the wet area to deal with incontinence episodes during showering.

Answer ""yes"" or ""no"".",23.0,,4.0,Figure67.jpg,yes
69,12,12 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The floor must be sloped in the shower, and the floor gully must be located so as to ensure that water is contained and does not escape into any adjoining bedroom.

Answer ""yes"" or ""no"".",24.0,,4.0,Figure67.jpg,yes
70,12,12 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
A staff emergency ceiling pull cord must be located in the space between the floor gully and the showering trolley in the staff working area so that the staff member can access it quickly  in the trolley access shower.

Answer ""yes"" or ""no"".",25.0,,4.0,Figure67.jpg,yes
71,13,13 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
In the trolley access shower, the shower hose should be long enough to allow staff to shower the full length of the patient from either side with a trigger handle.

Answer ""yes"" or ""no"".",18.0,,4.0,Figure67.jpg,yes
72,13,13 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
Two clearance zones, one on each side of the central trolley area, must be provided in the trolley access shower, each with a minimum width of 800 mm.

Answer ""yes"" or ""no"".",19.0,,4.0,Figure67.jpg,no
73,13,13 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The shower trolley usually has a width of 760 mm.

Answer ""yes"" or ""no"".",20.0,,4.0,Figure67.jpg,no
74,13,13 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The overall length of the shower area in the trolley-access shower must be 2700 mm to accommodate a 1900 mm-long trolley, as a minimum clear space of 600 mm must be provided beyond one end of the shower trolley. There should be some space between the foot of the trolley and a wall with a toilet pan or sluice.

Answer ""yes"" or ""no"".",21.0,,4.0,Figure67.jpg,yes
75,13,13 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
A minimum clear space of 600 mm must be provided beyond one end of the shower trolley to allow for staff passage and maneuvering.

Answer ""yes"" or ""no"".",22.0,,4.0,Figure67.jpg,yes
76,13,13 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
A toilet pan or sluice must be located at the foot of the shower trolley area. The drainpipe at the foot of the shower trolley should be positioned over the toilet in the wet area to deal with incontinence episodes during showering.

Answer ""yes"" or ""no"".",23.0,,4.0,Figure67.jpg,yes
77,13,13 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The floor must be sloped in the shower, and the floor gully must be located so as to ensure that water is contained and does not escape into any adjoining bedroom.

Answer ""yes"" or ""no"".",24.0,,4.0,Figure67.jpg,yes
78,13,13 Cutout 5.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
A staff emergency ceiling pull cord must be located in the space between the floor gully and the showering trolley in the staff working area so that the staff member can access it quickly  in the trolley access shower.

Answer ""yes"" or ""no"".",25.0,,4.0,Figure67.jpg,yes
79,13,13 Cutout 5.jpg,41,"Is the design displayed in the picture compliant with the following rule?

Rule:
In the trolley access shower, the shower hose should be long enough to allow staff to shower the full length of the patient from either side with a trigger handle.

 The shower rooms are assumed to be wet rooms. The slope of the floor and location of the floor gully should ensure that water does not escape into the adjoining bedroom.The drainpipe at the foot of the shower trolley should be positioned over the toilet in the wet area to deal with incontinence episodes during showering.

Answer ""yes"" or ""no"".",,3.0,4.0,Figure67.jpg,no
80,13,13 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
In the trolley access shower, the shower hose should be long enough to allow staff to shower the full length of the patient from either side with a trigger handle.

Answer ""yes"" or ""no"".",18.0,,4.0,Figure67.jpg,no
81,13,13 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
Two clearance zones, one on each side of the central trolley area, must be provided in the trolley access shower, each with a minimum width of 800 mm.

Answer ""yes"" or ""no"".",19.0,,4.0,Figure67.jpg,yes
82,13,13 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The shower trolley usually has a width of 760 mm.

Answer ""yes"" or ""no"".",20.0,,4.0,Figure67.jpg,yes
83,13,13 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
The overall length of the shower area in the trolley-access shower must be 2700 mm to accommodate a 1900 mm-long trolley, as a minimum clear space of 600 mm must be provided beyond one end of the shower trolley. There should be some space between the foot of the trolley and a wall with a toilet pan or sluice.

Answer ""yes"" or ""no"".",21.0,,4.0,Figure67.jpg,no
84,13,13 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
A minimum clear space of 600 mm must be provided beyond one end of the shower trolley to allow for staff passage and maneuvering.

Answer ""yes"" or ""no"".",22.0,,4.0,Figure67.jpg,no
85,13,13 Cutout 5.jpg,42,"Is the design displayed in the picture compliant with the following rule?

Rule:
A toilet pan or sluice must be located at the foot of the shower trolley area. The drainpipe at the foot of the shower trolley should be positioned over the toilet in the wet area to deal with incontinence episodes during showering.

Answer ""yes"" or ""no"".",23.0,,4.0,Figure67.jpg,no
